,Participant,ENSG00000124813.20,ENSG00000159216.18,ENSG00000001167.14
87,pt-dg429kec,909.859267847979,2271.40040062619,1028.74125142305
88,pt-8rrdnvct,1123.53471691002,2209.19250042265,1536.46066720678
89,pt-vvecsz13,1240.42045995881,2616.46043391209,1451.05904961335
90,pt-z982vyz0,1115.32977727231,3114.8460071859,1459.99763001281
91,pt-0m33rnp4,809.417777270406,1985.68343032277,1193.07794526208
92,pt-3dgj747m,735.43722505799,2098.50268748321,1061.98741317112
93,pt-6kd8d0bm,1220.4880763356,2848.5428868016,1561.05822711679
94,pt-vvn9mbwb,993.723491615414,2529.46944266167,1365.04103569875
95,pt-m8svphee,1066.71238367008,2786.62825342857,1452.89724023488
96,pt-4sxmya0j,1158.40768496652,2650.02817306606,1359.62210529692
97,pt-9w44bfb4,1910.0562963277,2031.66387499249,1545.5452100986
98,pt-g2bdsbe0,876.156522811282,1966.8520461735,1242.3706917401
99,pt-qfj14x1w,662.138738037582,2465.9666198905,1261.89430565819
100,pt-przw595w,896.995290252099,2007.94349161558,1308.17522123696
101,pt-zx7vfz9z,786.358420823494,2643.42057481747,1508.53244428796
102,pt-t18r5gfc,1273.84221188957,2181.77997357859,1538.86368758531
103,pt-1h5y5m08,1121.00586757133,2604.58055330486,1334.0848263511
104,pt-sd3pqt6s,1315.55429952763,3583.14299508624,1520.05992338216
105,pt-tnz92fmp,1066.10249991959,2539.79749759916,1743.54873513977
106,pt-x9vedb7t,1454.9673239905,3098.42636878337,1599.63238497071
107,pt-1njnnkmr,915.768405193379,2684.73991218603,1324.89314106052
108,pt-hzs4c0x8,1026.44888397146,3440.75013715974,1678.04763458928
109,pt-1efvnrc7,1048.76930600378,2163.57014567629,1318.33783729282
110,pt-3hngj90m,1198.77963588728,2143.3155673381,1428.00404717848
111,pt-8a32zr4n,1143.61498888354,2564.97347774971,1766.32730805346
112,pt-fedph1kg,1062.29064377641,1916.52636135704,1224.35607366305
113,pt-b705292q,1862.83683846356,2621.75489936016,1705.66479777722
114,pt-sdsygv5y,798.136762001151,2654.52100294229,1360.68707881076
115,pt-re51zr33,745.862843773972,1879.25378840779,1166.00068554122
116,pt-b4mewnp3,746.517939936512,3822.68234014431,1399.97575853415
117,pt-gs3q1bze,530.941931473692,2809.72826095364,1089.99787059195
118,pt-n4fdk2fh,849.363547614707,3412.08395166348,1286.06229989045
119,pt-8zjj7zn0,1273.63805468753,2216.95786337572,1331.4560505368
120,pt-sf1ter4a,818.923174614254,2963.06194724511,1560.18351314159
121,pt-s1cd3sew,716.888510787061,2462.03414212193,1157.15078414445
122,pt-q65j8bxb,844.723943997318,2390.00492265358,1167.75570461489
123,pt-y3j8pbe9,1608.33473863584,2380.59643945751,1424.93343366042
124,pt-xpmfwsjv,1520.32565645447,2702.74819346821,1402.40753227546
125,pt-5k454rz9,789.897028357475,2689.59058750861,1205.99303617823
126,pt-qbbjyjgs,1297.83099074368,2279.18203111726,1242.86012829605
127,pt-60c60s9a,967.600652914296,4134.43768461978,1690.22524717301
128,pt-0fw3p877,915.519643905418,2445.58326409966,1290.65831493744
129,pt-6cv1eks9,1261.061600786,2717.06385204211,1562.59230786091
130,pt-12zq480k,938.881343519073,3170.00562236401,1385.20075068607
131,pt-fme7s88t,856.785799833613,1786.32841834446,1106.50852993788
132,pt-1mfkzaje,1035.16706006768,2548.75666122128,1274.3793248809
133,pt-7vt17pkm,1315.86258070785,2404.41643143749,1659.05925876015
134,pt-9vaxsgh8,924.562664336435,3453.04563304678,1573.75055370254
135,pt-3256j3j1,921.059830694748,2357.03362480226,1432.08237152026
136,pt-8769j9ys,930.884845014478,2420.98655608837,1153.89047772296
137,pt-1yr5xy41,1377.37649996664,3476.68832714089,1441.24953103812
138,pt-hq4z60ed,1472.94827075081,2947.41879292385,1938.38971212634
139,pt-gd8g09mf,1116.60927951097,2644.12347664279,1434.75135387223
140,pt-5rp15cqz,751.49502465332,3281.57820469128,1651.18802448849
141,pt-0ev9q7hz,957.464050334322,2182.83900283864,1533.98887941555
142,pt-6d3gdkvn,1268.44276820192,2052.63348795519,1685.61104117809
143,pt-j20cb6g0,1204.63376783611,1867.03917474709,1375.00681554881
144,pt-npct8bbb,971.210129300045,2677.54936126932,1275.44326292313
145,pt-ge3gpp7z,1149.18313681328,2081.85112672815,1396.77104594286
146,pt-vjwmqwzx,785.501704610726,3578.56654790355,1180.87021087811
147,pt-6q5agx2w,1066.95929140117,2750.02333758625,1751.5976975171
148,pt-fg1bsw2g,917.486436530477,2461.32800578162,1419.16142817382
149,pt-838ny1es,1312.81029677481,1982.62182716953,1287.15960871174
150,pt-exgtadsw,825.523628803699,3264.46348531097,1665.57104836042
151,pt-0e3fehnr,1196.03419695333,2571.19952457654,1492.276209627
152,pt-40y6zwph,743.006812875836,3182.08489879232,1480.08990056446
153,pt-9zecp595,856.029049042125,2399.9010403489,1307.04888935609
154,pt-br0vz29g,1007.47090195532,2730.57433898698,1571.3797162618
155,pt-e9b7tc32,981.176579158562,3282.78789221704,1526.76230866363
156,pt-94y3k3jg,725.787416001726,2588.05609856023,1329.92667257514
157,pt-5e9e1f4c,1298.29250667164,2391.86350969001,1586.73798100931
158,pt-qsyx9sd0,1056.79595852833,3569.89854177158,1255.20038435551
159,pt-7e64scr4,1097.26910616322,3665.23990919396,1342.49292746895
160,pt-8by3qswj,962.713428339612,2979.38954125803,1558.61476048294
161,pt-r6e3w9rn,923.575497219927,4223.92559317396,1658.84846753989
162,pt-cxphb81m,1341.79556927473,2130.54886977987,1442.49980691181
163,pt-5110c4zk,882.628039695834,2657.13827629502,949.875060606016
164,pt-jk0xxnke,862.363865756616,3090.88698187545,1446.21339084227
165,pt-4679j6nn,903.070565548613,2078.43175025495,1392.38821128784
166,pt-ebgq1mvn,1307.83743946112,1845.29402599118,1428.49013226823
167,pt-pxkhhhv1,909.171073278909,2900.68926057532,1401.73587833873
168,pt-f7n3742y,832.429979952684,2026.67632100676,1096.38588577006
169,pt-nc77wref,1046.3503638977,1428.16255183775,1177.58169561318
170,pt-nvqgrggn,1015.40663494544,2733.66537658105,1561.1636581771
171,pt-54km9zqj,846.717122923256,2122.32450421693,916.615937632118
172,pt-w18gxe9j,1080.11613812501,3776.74854165197,1840.31113414025
173,pt-hzjr2k3h,915.87593774249,2054.235330093,1224.81090057804
174,pt-db18hfw6,717.745664639238,2665.86954198686,1306.33221500874
175,pt-gd7pd67k,821.980161911487,2950.21709396124,1547.18779196048
176,pt-17eas3jx,1106.56448842246,1935.23482422928,1165.300453492
177,pt-h8yqnxba,1127.56905280143,2930.08122448555,1462.47496911415
178,pt-gkcp552b,830.681183464541,2688.29568204588,1389.92007385114
179,pt-r2mesfay,861.779413550306,3444.24157832959,1929.21450698578
180,pt-55geegjs,643.107880636041,3035.09895917568,1096.75440948539
181,pt-rra9nkcy,951.972596898571,2628.56091203393,1467.27137389416
182,pt-pzr54vhn,985.41022864867,4312.7662708127,1971.27616320851
183,pt-f9hdfn4t,767.1467995543,3761.94373693904,1545.47286484496
184,pt-aptw83cq,640.583763037212,2318.90197050998,1400.0667017936
185,pt-qa27nfde,1213.14289139435,2409.18337840262,1591.04686083129
186,pt-3vtypyt8,914.315538501573,2578.743049782,1355.49964410097
187,pt-jn6680z5,677.531868692481,3181.32622746854,1395.72234376713
188,pt-5vh36aw2,792.408041171041,2278.51966061913,1206.63859386656
189,pt-8k8tsk5v,900.393875898328,2991.07622045965,1660.58717969326
190,pt-sf259p3w,1210.19870824744,2952.30039397903,1477.10422421149
191,pt-w23z2qtm,1009.75895819172,2571.87343962098,1297.50636583351
192,pt-ckjd4kfz,1288.4372423704,2531.64978156755,1307.87275984572
193,pt-049kaxj5,846.129377356906,3007.40931407657,1290.04713384356
194,pt-cwy8twzs,838.022499250705,3301.00274444646,1449.96869942863
195,pt-0s87ez0c,1368.00665510786,2509.20533621073,1665.10392365139
196,pt-x5cydpe3,1012.45393042002,2707.29825819034,1325.26568707101
197,pt-1wm3svc9,1098.70502561057,2705.82073037175,1574.53783770056
198,pt-qgy9hzfs,710.735401030895,2567.99186523253,1265.7017085171
199,pt-e371bre1,761.75917696455,2016.13181718432,1123.04055071832
200,pt-w9njgfhs,1344.96954129947,1886.8194594236,1277.10477463262
201,pt-yhgx0gjw,738.578787831578,2686.72760519917,1358.5963756676
202,pt-mawfy0bt,1023.265796921,2510.42265560097,1408.88857664146
203,pt-3b0vt50c,737.506256683657,3068.79765456057,1474.44206740199
204,pt-f6t0njwa,1288.31638957063,2354.94360011509,1529.21256301492
205,pt-845xkz62,1049.03169263711,3148.16308653923,1481.11826304421
206,pt-3py7sfgg,1563.42301243529,2476.95863496806,1537.97516012678
207,pt-69wr78gp,1304.28752072778,2355.34472082813,1417.6486048239
